X,Y,OBJECTID,NAME,ADDRESS,FACUSE,LEVEL_,STATUS,PHONE,PS,PK,K,GR_1,GR_2,GR_3,GR_4,GR_5,GR_6,GR_7,GR_8,GR_9,GR_10,GR_11,GR_12,UNGRADED,TOTAL_STUD,SSL,GIS_ID,WEB_URL,ADDR_ID,BLDG_NUM,SCH_PROG,CAPITALGAINS,CAPACITY,YEAR_BUILT,SQUARE_FOOTAGE,POPULATION_PLAN,POPULATION_ENROLLED_2008,YEAR_CLOSED
-76.998050740736346,38.864030145815128,1,Jackie Robinson Center,821 HOWARD ROAD SE,DCPS/DHS SE,SE,Closed,202-698-2323,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,18,24,,dcps_909,http://educationcenter.dc.gov/ec/site/default.asp?portal_link=cc,278626,909,909,,,,,,,2010
-76.993039770465117,38.840276515139252,2,McGogney Elementary School,3400 WHEELER ROAD SE,Elementary School,ES,Closed,202-645-3320,18,20,27,32,36,24,29,24,28,0,0,0,0,0,0,14,252,,dcps_275,http://educationcenter.dc.gov/ec/site/default.asp?portal_link=cc,294566,275,275,,,,,,,2010
-77.018119620783523,38.909893846843204,3,Scott Montgomery Elementary School,421 P STREET NW,Elementary School,ES,Closed,202-673-7245,0,11,24,28,22,28,26,34,29,0,0,0,0,0,0,0,202,,dcps_282,http://educationcenter.dc.gov/ec/site/default.asp?portal_link=cc,294487,282,282,,,,,,,2010
-77.024963245760276,38.912166921260088,4,Shaw Junior High School,925 RHODE ISLAND AVENUE NW,Junior High School,JHS,Closed,202-673-7203,0,0,0,0,0,0,0,0,0,118,168,123,0,0,0,0,409,,dcps_432,http://educationcenter.dc.gov/ec/site/default.asp?portal_link=cc,294503,432,432,,,,,,,2008
-77.007227253746208,38.952520902644196,5,Mamie D. Lee School,100 GALLATIN STREET NE,Special Education School,SE,Closed,202-576-6090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90, ,dcps_265,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294470,465,465,N,,1971,,,,
-77.030470626590841,38.943482120059592,6,Sharpe Health School,4300 13TH STREET NW,Special Education School,SE,Closed,202-576-6161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,89, ,dcps_312,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,255254,312,312,N,250,1958,,,,
-77.002667963960249,38.923677197254712,7,Shaed Elementary School,"301 Douglas Street, N.E.",Elementary School,ES,Closed,,,,,,,,,,,,,,,,,,, ,Dcps_311,http://www.k12.dc.us/dcps/schools/results1.cfm?school_id=311,294477,311,,,,,,,,2008
-76.921451147530973,38.889472946700607,8,Transition Academy at Shadd,"5601 East Capitol Street, S.E.",Elementary School,ES,Closed,,,,,,,,,,,,,,,,,,, ,Dcps_310,http://www.k12.dc.us/dcps/schools/results1.cfm?school_id=310,294610,310,,,,,,,,2013
-76.978794137496138,38.936991212778381,9,Taft Junior High School,1800 Perry Street NE,Special Education,SE,Swing,,,,,,,,,,,,,,,,,,, ,Dcps_429,http://www.k12.dc.us/dcps/schools/results1.cfm?school_id=473,294529,429,,,,,,,,
-77.006640133137012,38.954930126569487,10,Keene,"33 Riggs Road, NE",Leased,Other, ,,,,,,,,,,,,,,,,,,, ,Dcps_1012, ,155991,1012,,,,,,,,2000
-77.061323012625166,38.912657912863807,11,Jackson,"1680 Avon Place, NW",Leased,Other, ,,,,,,,,,,,,,,,,,,, ,Dcps_255, ,273059,255,,,,,,,,1971
-76.994039498509082,38.909390317641311,12,Hamilton Center,"1401 Brentwood PKWY, N.E.",Special Education,SE,Closed,,,,,,,,,,,,,,,,,,, ,Dcps_412,http://www.k12.dc.us/dcps/schools/results1.cfm?school_id=9903,294521,412,,,,,,,,2013
-76.933927485844038,38.883732467590242,13,Fletcher-Johnson Educational Center,"4650 Benning Road, S.E.",Educational Center,EC,Closed,,,,,,,,,,,,,,,,,,, ,Dcps_348,http://www.k12.dc.us/dcps/schools/results1.cfm?school_id=348,288259,348,,,,,,,,2006
-76.920866990369106,38.890410846115621,14,Evans Middle School,"5600 East Capitol Street, N.E",Middle School,MS,Closed,,,,,,,,,,,,,,,,,,, ,Dcps_408,http://www.k12.dc.us/dcps/schools/results1.cfm?school_id=408,289793,408,,,,,,,,
-77.007739942609859,38.913589855195902,15,Emery Elementary School,"1720 1st Street, N.E.",Elementary School,ES,Closed,,,,,,,,,,,,,,,,,,, ,Dcps_235,http://www.k12.dc.us/dcps/schools/results1.cfm?school_id=235,294527,235,,,,,,,,2008
-77.018503833145431,38.910018727851927,16,Montgomery Elementary School,"421 P Street, N.W.",Elementary School,ES,Closed,,,,,,,,,,,,,,,,,,, ,Dcps_282,http://www.k12.dc.us/dcps/schools/results1.cfm?school_id=282,294487,282,,,,,,,,2011
-77.024721284091569,38.961312531679852,17,Paul Junior High School,"5800 8th Street, N.W.",NOT USED,JHS,Closed,,,,,,,,,,,,,,,,,,, ,Dcps_422, ,294613,422,,,,,,,,
-77.030122178356635,38.943545193508882,18,Sharpe Health Special Education School,"4300 13th Street, N.W.",Special Education,SE,Closed,,,,,,,,,,,,,,,,,,,2820 0801,Dcps_312,http://www.k12.dc.us/dcps/schools/results1.cfm?school_id=312,255254,312,,,,,,,,2013
-76.988052035950872,38.856626789935383,19,Douglass Transitional Academy,2600 DOUGLASS PLACE SE,Special Education School,SE,Closed,202-698-1570,0,0,0,0,0,0,0,0,0,0,0,7,29,14,10,0,60,5872    0950,dcps_946,http://educationcenter.dc.gov/ec/site/default.asp?portal_link=cc,155368,406,946,,0,0,0,0,0,2008
-76.985552698560085,38.856852168567102,20,Wilkinson Elementary School,2330 POMEROY ROAD SE,Elementary School,ES,Closed,202-698-1111,17,34,80,83,85,66,0,0,0,0,0,0,0,0,0,0,365, ,dcps_354,http://educationcenter.dc.gov/ec/site/default.asp?portal_link=cc,294542,354,354,,0,0,0,0,0,2008
-77.010276436918886,38.908727949103849,21,Washington Center @ M.M. Washington Career Senior High School,27 O STREET NW,Special Education Center,SE,Closed,202-671-2692,0,0,0,0,0,0,0,0,0,0,0,45,33,9,11,0,98, ,dcps_918,http://educationcenter.dc.gov/ec/site/default.asp?portal_link=cc,294464,479,479A,,0,0,0,0,0,2008
-76.995456866882975,38.885046581900269,22,Hine Middle School,335 8TH STREET SE,Middle School,MS,Closed,202-698-3330,0,0,0,0,0,0,0,0,0,151,117,0,0,0,0,0,268, ,dcps_414,http://educationcenter.dc.gov/ec/site/default.asp?portal_link=cc,294480,414,414,,0,0,0,0,0,2008
-77.021187964498267,38.934421555698307,23,Park View Elementary School,3560 WARDER STREET NW,Elementary School,ES,Closed,202-576-6222,0,16,29,29,23,25,16,24,0,0,0,0,0,0,0,0,162, ,dcps_293,http://educationcenter.dc.gov/ec/site/default.asp?portal_link=cc,294583,293,293,,0,0,0,0,0,2008
-76.971218451869603,38.901135950148763,24,Young Elementary School,820 26TH STREET NE,Elementary School,ES,Closed,202-724-4569,0,26,24,33,32,32,41,22,32,0,0,0,0,0,0,0,242, ,dcps_341,http://educationcenter.dc.gov/ec/site/default.asp?portal_link=cc,294499,341,341,,0,0,0,0,0,2008
-76.930133451378083,38.90023785717819,25,Merritt Middle School,5002 HAYES STREET NE,Middle School,EC,Closed,202-724-4618,0,0,0,0,0,0,0,0,23,75,72,0,0,0,0,0,170, ,dcps_277,http://educationcenter.dc.gov/ec/site/default.asp?portal_link=cc,294606,277,277,,0,0,0,0,0,2008
-76.992271089363058,38.834335660255419,26,Draper Elementary School,908 WAHLER PLACE SE,Elementary School,ES,Closed,202-645-3309,0,12,11,7,13,13,6,9,13,0,0,0,0,0,0,0,84, ,dcps_230,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294502,230,230,N,352,1953,54000,325,128,2009
-76.980315499073953,38.847643882320803,27,Turner Elementary School/Frederick Douglas Center,3264 STANTON ROAD SE,Elementary School,ES,Closed,202-698-1155,0,39,58,69,59,55,65,33,51,0,0,0,0,0,0,0,429,,dcps_329,http://educationcenter.dc.gov/ec/site/default.asp?portal_link=cc,294561,329,329,,,,,,,2008
-77.012869716615825,38.962172442371354,28,Rabaut Junior High School,100 PEABODY STREET NW,NOT USED,JHS, ,,,,,,,,,,,,,,,,,,, ,Dcps_1022, ,277545,1022,,,,,,,,
-77.030542905244644,38.944707948325167,29,Burdick (+ ECE Annex) ,1300 Allison Street NW,,,Closed,,,,,,,,,,,,,,,,,,,,,,255251,,,,,,55000,,,
-77.029955797437395,38.918756873891738,30,Harrison,2120 13th Street NW,,,,,,,,,,,,,,,,,,,,,,,,,310205,,,,,,48900,,,1995
-77.00996515550564,38.909846449403609,31,Langston Elementary School,43 P STREET NW,Elementary School,ES,Closed,,,,,,,,,,,,,,,,,,,,,,301249,,,,,,22300,,,1997
-77.010607610147744,38.909845059033813,32,Slater Elementary School,45 P Street NW,Middle School,ES,Closed,,,,,,,,,,,,,,,,,,,,,,279790,,,,,1891,18300,,,1975
-77.031598243355532,38.960527542616134,33,Sharpe Health Annex ,1351 Nicholson Street NW,,,,,,,,,,,,,,,,,,,,,,,,,257768,,,,,,17413,,,2006
-76.995356842178452,38.859769537679206,34,Birney Elementary School,2501 MARTIN LUTHER KING JR AVENUE SE,Elementary School,ES,Closed,202-698-1133,15,23,37,28,25,39,21,33,0,0,0,0,0,0,0,0,221, ,dcps_208,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,278172,208,208,N,560,1950,86800,400,280,2009
-76.981138284520739,38.908081431034951,35,Webb/Wheatley Elementary School,1375 MOUNT OLIVET ROAD NE,Elementary School,ES,Closed,202-724-4543,51,9,41,40,43,44,33,32,41,30,0,0,0,0,0,0,364, ,dcps_335,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,286108,335,335,N,625,1960,103700,400,327,2009
-76.977559423279928,38.89672063018515,36,Gibbs Elementary School,500 19TH STREET NE,Elementary School,ES,Closed,202-724-4573,14,17,39,26,41,33,28,41,42,0,0,0,0,0,0,0,281, ,dcps_240,http://educationcenter.dc.gov/ec/site/default.asp?portal_link=cc,290080,240,240,,0,0,0,0,0,2008
-76.98686690398273,38.929613383816267,37,Slowe Elementary School,1404 JACKSON STREET NE,Elementary School,ES,Closed,202-576-6075,0,9,10,11,12,13,12,12,4,0,0,0,0,0,0,0,83, ,dcps_342,http://educationcenter.dc.gov/ec/site/default.asp?portal_link=cc,294522,342,342,,0,0,0,0,0,2008
-76.98340084167819,38.841652844624043,38,Green Elementary School,1500 MISSISSIPPI AVENUE SE,Elementary School,ES,Closed,202-645-3470,14,20,29,32,40,24,32,20,27,0,0,0,0,0,0,0,238, ,dcps_244,http://educationcenter.dc.gov/ec/site/default.asp?portal_link=cc,294523,244,244,,0,0,0,0,0,2008
